Fase / criterio,Requerimiento del PDF,Estado,Evidencia encontrada en expenses-report,Archivos revisados / referencia,Brecha si no cumple totalmente,Accion recomendada
Avance 4,Utilizar herramientas de debugging para resolver problemas y mejorar la aplicacion.,Parcial,"Existen pruebas, logs controlados y notas de debugging responsive en README.",README.md:367; backend/tests; frontend/src,"No se encontro configuracion formal de debugger, scripts de inspeccion, perfiles o guia reproducible de debugging backend.","Agregar guia de debugging Node --inspect, configuracion VS Code/Chrome DevTools y casos documentados."
Fase final,Integrar todos los componentes para que funcionen cohesivamente.,Si,"Frontend consume API mediante API_BASE_URL/authFetch, backend expone rutas protegidas, Docker orquesta frontend/backend/dbs y las pruebas/build pasan.",frontend/src/utils/api.js; frontend/src/utils/auth.js; backend/src/app.js:67; docker-compose.yml:38; comando ejecutado: cd frontend && npm run build,,
Fase final,"Documentar la aplicacion con documentacion adecuada, comentarios y guias de usuario.",Si,"Hay README completo, DOCKER.md, docs/architecture.md, docs/security-review.md, docs/activity-service.md, Swagger/OpenAPI y una guia de usuario integrada en la app mediante la nueva seccion Ayuda con acordeones por modulo.",README.md:294; DOCKER.md:1; docs/architecture.md:1; docs/security-review.md; docs/activity-service.md; backend/src/config/swagger.js:5; frontend/src/components/HelpPage.jsx; frontend/src/App.jsx,,Mantener la guia actualizada cuando se agreguen nuevos modulos o cambien flujos de usuario.
Fase final,Preparar presentacion o demostracion de la aplicacion completa.,Parcial,"README documenta funcionalidades, URLs locales, stack, arquitectura, seguridad y despliegue; frontend contiene assets visuales.",README.md:30; README.md:70; README.md:174; frontend/src/assets,"No se encontro deck, video, carpeta de screenshots reales ni documento final de presentacion.","Agregar presentacion PDF/PPT, video corto o capturas por modulo."
Entrega semana 5,Entregar codigo en formato texto.,Si,"El repositorio contiene codigo fuente completo backend/frontend, SQL, Docker y documentacion.",rg --files --hidden reporto 133 archivos revisados,,
Entrega semana 5,Entregar imagenes y/o videos donde se vea claramente el resultado.,Parcial,Existen assets de UI y placeholders de screenshots en README.,frontend/src/assets; README.md:30,No hay screenshots reales en docs/screenshots ni videos de demostracion en el repositorio.,Agregar capturas reales desktop/mobile y/o enlace/video de demo.
Entrega semana 5,Crear portafolio de servicios para ofrecer a clientes.,Parcial,"README tiene formato profesional de portafolio tecnico con badges, features, stack, arquitectura, seguridad, pruebas y despliegue.",README.md:1; README.md:70; README.md:357,El PDF final de portafolio/reflexiones no esta incluido; README no reemplaza completamente el documento profesional solicitado.,"Crear documento PDF final con portada, narrativa de servicio, evidencias visuales, reflexiones y argumentacion por avance."
Entrega semana 5,Incluir reflexiones y argumentacion sobre lo hecho en cada avance.,Parcial,README incluye Lessons Learned y PROJECT_STATUS resume avances.,README.md:357; PROJECT_STATUS.md:1,Las reflexiones no estan organizadas fase por fase como pide el PDF integral.,"Agregar seccion por Avance 1-4 y fase final con decisiones, problemas, solucion y aprendizaje."
Entrega semana 5 / Seguridad,"Ejecutar analisis de seguridad, variables y vulnerabilidades despues de integrar el proyecto.",Parcial,"Se agregaron scripts security:audit, se ejecuto npm audit en backend/frontend y se documento el resultado. Frontend quedo en 0 vulnerabilidades; backend conserva 2 moderadas por uuid via Sequelize porque npm solo ofrece fix --force con downgrade rompedor.",backend/package.json:8; frontend/package.json:10; docs/security-review.md; backend/src/config/validateEnv.js:3,Permanece un riesgo moderado transitorio en backend por dependencia de Sequelize/uuid; no se aplico fix --force para no romper el proyecto.,Monitorear actualizacion segura de Sequelize/uuid o aplicar override solo despues de validar compatibilidad.
Rubrica,Implementacion y funcionalidad: fases completas y app funcional sin errores.,Parcial,Backend tests pasaron 7/7 suites y frontend build paso; funcionalidad principal esta implementada.,comando ejecutado: cd backend && npm test; comando ejecutado: cd frontend && npm run build,"Persisten brechas de microservicios estrictos, monitoreo/profiling, evidencia de despliegue/demo y advertencia de bundle grande.",Cerrar brechas documentales/tecnicas antes de entrega final.
Rubrica,"Seguridad y prevencion de ataques: autenticacion, autorizacion y prevencion comun sin vulnerabilidades detectadas.",Parcial,"JWT, bcrypt, admin middleware, Helmet, CORS allowlist, rate limiting, validadores, sanitizacion, pruebas SQLi/XSS y reporte de auditoria estan implementados.",backend/src/controllers/authController.js:62; backend/src/middleware/authMiddleware.js:25; backend/src/app.js:53; backend/src/utils/validators.js:65; backend/tests/security.test.js; docs/security-review.md,Backend npm audit todavia reporta 2 vulnerabilidades moderadas por uuid via Sequelize; el fix automatico requiere --force y downgrade rompedor.,Resolver dependencia vulnerable cuando exista ruta no rompedora; mientras tanto conservar evidencia y pruebas.
Rubrica,"Optimizacion y uso de herramientas avanzadas: microservicios, contenedores, optimizacion, monitoreo, profiling y debugging efectivos.",Parcial,"Contenedores, microservicio de actividad, pool de Sequelize, limites de consulta, pruebas y build funcionan.",docker-compose.yml:1; activity-service/src/server.js; backend/src/config/sequelize.js:12; backend/src/controllers/expensesController.js:17,No hay monitoreo/profiling formal ni optimizacion de bundle; build advierte chunk grande.,Priorizar documentacion de monitoreo/profiling y optimizacion de bundle si hay tiempo.
Rubrica,"Integracion y uso de bases de datos: integracion exitosa, consultas eficientes y manejo adecuado de datos.",Si,"MySQL + Sequelize/mysql2 y MongoDB + Mongoose integrados; modelos y controladores usan validacion, scoping por usuario y actividad.",backend/src/config/sequelize.js:4; backend/src/config/mongo.js:5; backend/src/controllers/accountsController.js:103; backend/src/models/activityLogModel.js:3,,
Rubrica,"Documentacion y presentacion: documentacion completa, guias y demostracion excepcional.",Parcial,"README, DOCKER, arquitectura y Swagger estan presentes.",README.md:1; DOCKER.md:1; docs/architecture.md:1; backend/src/config/swagger.js:5,"Faltan capturas reales, video/deck/demo y PDF integral tipo portafolio solicitado por el PDF.",Completar entregables visuales y PDF final.
